;Unnamed: 0;link;hasil;sentiment
15;19.0;https://www.instagram.com/p/Cr7tUD_Phf7/;hunting foto lageee sparkles   masyaallah mode ukhtiiii smiling face  heart eyes smiling face  hearts masyaallah cantiknya kakak smiling face  heart eyes smiling face  heart eyes;1
16;20.0;https://www.instagram.com/p/CrzoE_ah2OA/;late post face  hand  mouth;1
17;21.0;https://www.instagram.com/p/CrzoEVFBBcV/;late post face  hand  mouth;1
18;22.0;https://www.instagram.com/p/CrpmAmqrLfm/;kasih caption ;1
19;23.0;https://www.instagram.com/p/Crpll4rLsBh/;belajar menerima   membenci kenyataan fire;0
20;24.0;https://www.instagram.com/p/CriKwJ1LSCl/;;1
21;25.0;https://www.instagram.com/p/CrdfBh_PBaR/;sparkles fallen leaf easternmangroves;1
22;27.0;https://www.instagram.com/p/Cq4-4nmreYb/;    mangroves   sea    meaning  like tree   roots   mangroves   roots   sea;1
23;29.0;https://www.instagram.com/p/Cq2HOtcIj58/;scale model demonstrating   forests protect  coast  wave damage;2
24;30.0;https://www.instagram.com/p/CqM1_a9LZuo/;prewedding  miya nfg photo;1
25;31.0;https://www.instagram.com/p/CqM1gFbLtM5/;prewedding  miya nfg photo;1
26;32.0;https://www.instagram.com/p/CqM1rbErP1m/;prewedding  miya nfg photo;1
27;34.0;https://www.instagram.com/p/Cp9P-bgJnTC/;face  rolling eyes cross mark cross mark cross mark check mark  grinning face  sweat victory hand light skin tone  winking face backhand index pointing right records send  dm us backhand index pointing right lovers ig dizzy;1
28;36.0;https://www.instagram.com/p/CppgahNv_Oa/;wiken vakansi sailing bagus fotonya;2
29;38.0;https://www.instagram.com/p/CpfxifKvi4l/;mangroves click nest  love  feed dm us  feature camera  flash red heart;2
30;39.0;https://www.instagram.com/p/CpZ_O4Cr5JG/;   friends remarkable nimage  would certainly like  deal    nmuch  info message  major account   nbio wih dadih arek seleb saiki rehh raising hands;1
31;41.0;https://www.instagram.com/p/CpXaoe-hn6Z/;seleranya    centi rolling   floor laughing zany face mending    sudah beaming face  smiling eyes thumbs ;1
32;44.0;https://www.instagram.com/p/Co9pAdFBKTO/;;1
33;45.0;https://www.instagram.com/p/Co4zfrMvwLn/;saribuahmangrove;1
34;46.0;https://www.instagram.com/p/CoyZHlRS9jw/;   pushpin nfujifilm camera  flash nindonesian country  npresent lightroom dizzy send pic  backhand index pointing right hubungan;1
35;52.0;https://www.instagram.com/p/CntSCwwP3Nr/;selamat   imlek gong xi fa cai red paper lantern red paper lantern red paper lantern;1
36;53.0;https://www.instagram.com/p/Cnd02AKPE-C/;announcement voucher senilai idr pemenang  via nhadiah  diambil besok  fas cafe selasa rabu januari  wib jam operasional  membawa bukti log  akun selamat   pemenang terima kasih   partisipasinya  peserta    berkecil hati  mencoba dilain kesempatan maturnuwun ninfo   nji  kencana asri il  nwonorejo  nphone nwhatsapp nemail admin com  alhamdulillah thanx  partying face alhamdulillah terima kasih ;1
37;54.0;https://www.instagram.com/p/CnbzonAv44S/;sunflower honeybee cantik pol face  hand  mouth face  tears  joy;2
38;61.0;https://www.instagram.com/p/CXIRyrUva-a/;menikmati keindahan alam  bentuk  cinta tanah air green heart  buset efek face  tears  joy face  tears  joy;2
39;62.0;https://www.instagram.com/p/CnG9Q2Oh7pr/;;1
40;84.0;https://www.instagram.com/p/Cm11vIHv55N/;happy new year cheers  health happiness  prosperity ;1
41;85.0;https://www.instagram.com/p/CmvRIkOpYvd/;  fallen leaf;1
42;86.0;https://www.instagram.com/p/CmsfSdyI2X3/;megaphone untold stories   islamic revolution israel outlying islands   america  israel afraid   islamic revolution  iran key    truth   islamic revolution  iran gem stone    purpose   formation   islamic revolution star  david america europe  israel hide  truth   islamic revolution  iran heart exclamation  build model society  justice   formation   revolution shows    imam mahdi appears   establish perfect justice   world like  society   perfect;1
43;87.0;https://www.instagram.com/p/CmqRlZ2p2ED/;sekedar melepas penat hiruk pikuknya perkotaan    ;2
44;89.0;https://www.instagram.com/p/CmlI1ofPgSW/;;1
45;90.0;https://www.instagram.com/p/Cma3JyDNp-i/;chacahua   mexico;1
46;91.0;https://www.instagram.com/p/CmYhQ6LhzFc/; bumi bhakti fondation  team relawan   kegiatan aksi tanam pohon  rhizopora salam lestari ijo royo royo alam semesta id;1
47;95.0;https://www.instagram.com/p/ClvCqwdvT35/;;1
48;96.0;https://www.instagram.com/p/ClvA00PvHD_/;;1
49;97.0;https://www.instagram.com/p/ClvAIjEPnl_/;;1
50;99.0;https://www.instagram.com/p/Cla94FTpWu3/;pain  temporary momories last forever;1
51;100.0;https://www.instagram.com/p/ClW7StXhZWp/;sekejap melepas penat hiruk pikuk kota round pushpin    modelnya    tempatnya face  tears  joy;2
52;101.0;https://www.instagram.com/p/ClK-YC-PRc6/;weekend mood spread good vibes  everyone  common biru flying around ;2
53;102.0;https://www.instagram.com/p/ClKWn2SPFuQ/;isuk isuk gek udan;1
54;105.0;https://www.instagram.com/p/CkvtHEJPk8s/;senja  sontoh laut teluk lamong nun  disana pile   containers  view pushpin kampung wisata sontoh laut;1
55;106.0;https://www.instagram.com/p/CkrwZEApZ4K/;jadikan konten  informatif  video menarik  dikemas padat berisi voice  talent     orang  nbikin konten  menyenangkan  bukaaannn ncontent video project  feat lemon apps;1
56;107.0;https://www.instagram.com/p/CkhxiKlSmWh/; weak   strong    ugly sometimes look pretty beaming face  smiling eyes   lonely   sok many love red heart nmy life full  scared   memakai  brave;1
57;110.0;https://www.instagram.com/p/Cjk5dmYP2ro/;repost  gadiajak crying face;1
58;115.0;https://www.instagram.com/p/CjHrmR0vrj7/;announcement photo video competition vertical garden green lake natural living stage ladies  gentlemen please welcome njuara njuara njuara nfoto video favorit hang nhadiah  diambil besok sabtu oktober  wib jam operasional kantor  membawa bukti log  akun pribadi membawa soft copy file asli  celana  flashdisk selamat   pemenang terima kasih   partisipasinya  peserta    berkecil hati  mencoba dilain kesempatan maturnuwun folded hands ninfo   nji  kencana asri il  nwonorejo  nphone nwhatsapp nemail admin com  halo   pengambilan hadiah besok   ketemu   disana  pengambilan hadiahnyadi sebelah    lihat    penyelenggara lomba mengadakan bebarengan  lomba foto  video    juaranya kebanyakan video   protes   pembuatan video    usaha ekstra      konsep  editing    protes  kalo  salah  pemenang    penghuni  kejadian      penyelenggara    harap maklumin  fair ajalah   karya    menarik perhatian  mata juri;2
59;116.0;https://www.instagram.com/p/CjFmk2fvSEo/;pemerintah kota pemkot  bertekad menata  kawasan wisata alam  konservasi      sawah kota  natas niat  wali kota  eri cahyadi  memperbaharui konsep wisata  raya   menarik wisatawan asing   kawasan wisata edukasi  penelitian nsebab menurutnya      sawah memiliki potensi     salah  ikon   kota pahlawan writing hand rangga putra nsumber foto pemkot  nklik selengkapnya  bio white exclamation mark white exclamation mark white exclamation mark;2
60;118.0;https://www.instagram.com/p/Ci1JX7_hycP/;photo taken   nthanks  dewi  rizal artist palette;1
61;119.0;https://www.instagram.com/p/Cipvqj6PzjB/;pagi  indah    main jalur mtb   daerah nslide jalur tanah padat  krikil traksinya  enak  pakai ban smiling face  sunglasses nslide  jalur single track  ngeri aduhai grinning face  smiling eyes   jaga keseimbangan jago   nharus  latihan keseimbangan  medan  nslide end   road;2
62;121.0;https://www.instagram.com/p/Cihz_UlLMLn/;kabar lingkungan nhai sobat lingkungan raising hands nmasih  rangka hut petrokimia gresik   peringatan  lingkungan hidup dunia  mengajak sobat lingkungan  hadir   kegiatan dekarbonisasi viral  berkolaborasi  departemen petrokimiagresik nacara  meliputi kegiatan viral   doorprize menarik  peserta  souvenir senam  bod awarding  pemenang lomba poster video  duta lingkungan penanaman  nserangkaian kegiatan    round pushpin sor tridharma pagi four  clock wib selesai nyuk    ramaikan kegiatan dekarbonisasi viral besok raising hands winking face;2
63;122.0;https://www.instagram.com/p/Ciea1PEP2de/;healing sunsite        nikmat;2
64;124.0;https://www.instagram.com/p/Ch4c1ASr4_M/;naku mencintaimu nkarena segenap alam semesta nmembantuku  menemukanmu rose llbio keren bang;2
65;126.0;https://www.instagram.com/p/Choxa4erzKs/;   nsudah bahagia;2
66;127.0;https://www.instagram.com/p/ChjdaZtv6gQ/;kategori flora mushroom njudul menjelajah   npenulis dian saptarini farid kamal muzaki nengah dwianita kuswytasari  aries sulisetyono npenerbit pusat studi kelautan lppm   ntahun nhalaman viii hlm nkondisi   gambar ilustrasi nstok nkonten isi nberisi  nama latin lokal deskripsi habitus zonasi habitat ukuran kelimpahan  keterangan    jenis jenis  sejati  asosiasi  jamur kayu  zona      jawa  nbagian mengenal  definisi habitat keanekaragaman jenis zonasi fungsi ekologi potensi ekonomi    panduan pengamatan petunjuk eksplorasi buku menjelajah   sejati bogem bakau tinjang tanjang tengar api api  asosiasi waru biduri putat laut cemara laut bintaro kambingan legundi glagah senggani ketapang jamur kayu   jamur   ditemui   pengertian jamur kayu sifat manfaat keanekaragaman jamur climacodon inonotus ganoderma daldinia nmangrove  sketsa nindeks pm terjual;2
67;131.0;https://www.instagram.com/p/ChZpQkeP07l/;selepas hujan munculan awan  cantik matahari  bersinar nmasih  rangka otw   menanam  smiling face  heart eyes smiling face  heart eyes ndredeg foto  ujung kapal situ face  tears  joy face  tears  joy face  tears  joy nmksih  memfoto two hearts two hearts two hearts two hearts;2
68;132.0;https://www.instagram.com/p/ChZMaFSPVs7/;sisa unit tipe premium ulundanu  langsung berdekatan  fasum taman jogging track club house  kolam renang anak buruan diskon ratusan juta rupiah gratis ppn bphtb biaya kpr biaya ajb imb shgb  pemasangan pln pdam bonus ac canopy pagar diskon senilai  ratusan juta rupiah face screaming  fear check mark   place value check mark  strategic location check mark  best building material quality check mark  high return  investment nhubungi kantorpemasaran pusat njl  kencana asri ii nrungkut  nphone nwhatsapp nemail admin com syarat ketentuan berlaku    dm denah layoutnya kamera camera  flash dollar banknote dollar banknote dollar banknote dollar banknote dollar banknote dollar banknote dollar banknote dollar banknote dollar banknote dollar banknote dollar banknote dollar banknote money bag money bag money bag money bag money bag money bag money bag money bag money bag money bag money bag money bag currency exchange credit card atm sign books  receipt memo artist palette automobile minibus pickup truck articulated lorry flexed biceps thumbs  light skin tone raising hands rolling   floor laughing face  medical mask growing heart blue heart green heart purple heart yellow heart black heart red heart orange heart brown heart white heart folded hands light skin tone folded hands light skin tone folded hands light skin tone folded hands light skin tone folded hands light skin tone folded hands light skin tone folded hands light skin tone folded hands light skin tone folded hands light skin tone;1
69;133.0;https://www.instagram.com/p/ChXGhCAL4IK/;dirgahayu republik   ;1
70;134.0;https://www.instagram.com/p/ChWJ_wihiNk/;merdeka nmerdeka  gangguan suara bising kendaraan bermotor fire fire fire fire;2
71;135.0;https://www.instagram.com/p/ChKZ_9jB3AU/;   penanaman  bibit  berlokasi    melestarikan alam  manggalakkan penghijauan    abrasi  pengikisan daratan  penanaman  nmari  lestarikan lingkungan nenergi  negeri keren smiling face  heart eyes;2
72;136.0;https://www.instagram.com/p/Cg9HTkbPTKf/;  ketemu anak cucu  pandemi    thanks god smiling face  heart eyes sehat francis enjoy  family xxx;2
73;138.0;https://www.instagram.com/p/CguHbEHPfFP/;bocil senang diajak jlan smiling face  hearts;2
74;139.0;https://www.instagram.com/p/Cgmkdq7v_oz/;tumbuhku menyamping nsedangkan  jalannya menyamping nkubutuh pendamping nbukan   kepiting nb ncrustacea red heart revolving hearts red heart;1
75;140.0;https://www.instagram.com/p/Cge43U-N4Ku/; rare spectacular  prolific ecosystem  contribute   wellbeing food security  protection  coastal communities    world;1
76;141.0;https://www.instagram.com/p/CgeNEN-PPvu/;selamat memperingati   sedunia nayo bergerak  tunggu  lingkungan  tercinta rusak kehutanan  mendukung membangun    kehidupan    clapping hands alhamdullilah  bersemangat  salam lestari thumbs  folded hands salam lestari salam konservasi   center nguling pasuruan optimis  bangkit ayo tanam tanam tanam tanam tanam tanam tanam tanam pohon evergreen tree evergreen tree evergreen tree selamat  manngrove sedunia salam lestari anak nelayan menjaring ikan nikan dimasak cuka terasi nmari   lestarikan nmenanam  cegah abrasi  lestari masyarakat sejahtera cdk banyuwangi  menjaga kelestarian  fire fire;2
77;142.0;https://www.instagram.com/p/CgYbk4tBmw8/;harta tahta  person biking;1
78;143.0;https://www.instagram.com/p/CgEmH34JkD2/;mangroves deciduous tree iphone hubungan official red heart;1
79;144.0;https://www.instagram.com/p/CgEdyqqrZta/;berusahalah  bahagia;1
80;146.0;https://www.instagram.com/p/Cf-6nuMBFp0/;post  face  hand  mouth njd ceritanya tuh  kosongin  memory iphone kali  besok lusa mendadak   mengajak mencari kece smiling face  heart eyes napalagi kalo rame   nmasa  mulu  kali  beaming face  smiling eyes beautiful;1
81;147.0;https://www.instagram.com/p/Cf84zXghTvh/;big thank   ub brawijaya    valuable person  speaker   webinar   lot  experience  knowledge  mangroves   benefit  environmental  socio economic aspects  wish  participants  learn new thing  ;1
82;148.0;https://www.instagram.com/p/Cf8iT9aBkrG/;hehehe    baked potato   rindang  face  tears  joy face  tears  joy face  hand  mouth;1
83;150.0;https://www.instagram.com/p/Cf8JTqghX5L/;face  hand  mouth nmasih  ;1
84;151.0;https://www.instagram.com/p/Cf6zQabhPPE/;   suka ayunan ndari jaman anak   setuwir    suka main ayunan nayunan   kehidupan butuh keseimbangan kencang berayun pastikan pegangan  kuat  lambat berayun  seimbang  duduk  berpijak;2
85;152.0;https://www.instagram.com/p/Cf6lWAzBCjp/; sih   suka bunga nsemua  suka  bunga bank face  tears  joy face  hand  mouth;2
86;153.0;https://www.instagram.com/p/Cf6hcINB0Dh/;sok  mencoba excavator  nyetir mobil  kagak  rolling   floor laughing rolling   floor laughing;1
87;154.0;https://www.instagram.com/p/Cf6E6V4vn-u/;bumi bhakti foundation  aksi penanaman  dikawasan pesisir kota  nribuan bibit    tanam  lokasi   potensi abrasi   bibir  kawasan    naksi penanaman ribuan bibit     salah  bentuk upaya    mencegah  abrasi seedling seedling;2
88;155.0;https://www.instagram.com/p/Cf6E3CBvjc8/;bumi bhakti foundation  aksi penanaman  dikawasan pesisir kota  nribuan bibit    tanam  lokasi   potensi abrasi   bibir  kawasan    naksi penanaman ribuan bibit     salah  bentuk upaya    mencegah  abrasi seedling seedling semoga  luas jangkauan bbf min semangat menghijaukan bumi flexed biceps manfaat    kegiatan   menginspirasi salam hormat  wibi nugraha penggiat   pesisir  sumatera utara fire fire fire;2
89;156.0;https://www.instagram.com/p/Cf6FBvMvqB1/;bumi bhakti foundation  aksi penanaman  dikawasan pesisir kota  nribuan bibit    tanam  lokasi   potensi abrasi   bibir  kawasan    naksi penanaman ribuan bibit     salah  bentuk upaya    mencegah  abrasi seedling seedling keren  smiling face  heart eyes smiling face  heart eyes kereeenn fire raising hands nice clapping hands clapping hands semoga   relawan  gabung  programnya keren banget smiling face  heart eyes;2
90;157.0;https://www.instagram.com/p/CfylovsPKGk/;segenap keluarga map group nmengucapkan selamat  raya idul adha red heart red heart red heart;1
91;159.0;https://www.instagram.com/p/Cfi6Ql2vqTl/;teman ;1
92;160.0;https://www.instagram.com/p/Cff3yf4LJJA/;bestie mangrovers npaket lengkap banget  sih mengobrol asyik  nyaman  mulyoasri nmenurut  nsuka orang  bikin nyaman  orang  menyambung diajak mengobrol  nhayohh admin tunggu jawabannya  kolom komentar winking face;2
93;161.0;https://www.instagram.com/p/CfOcdifvEzo/;full senyum pokoknya grinning face  smiling eyes;2
94;162.0;https://www.instagram.com/p/CfIm-WdP_T1/;  upload foto ambek pasangan ;1
95;163.0;https://www.instagram.com/p/CfImGuMPrXb/;coming soon  berkarya;1
96;164.0;https://www.instagram.com/p/CfIlvS6v4ik/;morniing happy monday ayo  smangaat freeends flexed biceps flexed biceps flexed biceps nmakasiih   stories jepretannya  awesome smiling face  heart eyes smiling face  heart eyes smiling face  heart eyes face savoring food footprints fire lomba camera  flash model studio backhand index pointing left double exclamation mark hai abang ku red heart always ganteng smiling face  heart eyes smiling face  heart eyes smiling face  heart eyes smiling face  heart eyes kakak ganteng smiling face  heart eyes smiling face  heart eyes cool fire fire clapping hands semangatttt flexed biceps light skin tone smiling face  heart eyes happy monday  ganteng  smiling face  heart eyes happy monday smiling face  heart eyes smiling face  heart eyes  semangat red heart red heart red heart happy monday  flexed biceps smiling face  hearts happy monday adik cakep smiling face  heart eyes cool happy monday  smiling face  heart eyes mowning abang ganteng smiling face  heart eyes smiling face  heart eyes smiling face  heart eyes;2
97;165.0;https://www.instagram.com/p/CfDbubAh8CR/;olah raga  ayo  tungguin  sun  face sun  face sun  face smiling face smiling face nmakasiih   stories jepretannya  awesome smiling face  heart eyes smiling face  heart eyes smiling face  heart eyes haduhh ebed kalo olahraga suka pegell  ebed  timer kakak  deh face  tears  joy ganteng smiling face  heart eyes hey   kid adorable let collab dm kids sparkles nongkrong cakep  kayak   smiling face  heart eyes smiling face  heart eyes smiling face  heart eyes smiling face  heart eyes smiling face  heart eyes smiling face  heart eyes morning kakak handsome  gerak  pengkolan smiling face  heart eyes kakak hensem smiling face  heart eyes smiling face  heart eyes smiling face  heart eyes smiling face  heart eyes siganteng oma   pintar bergaya semoga sukses  sayang thumbs  thumbs  thumbs  red heart red heart red heart red heart red heart red heart  gantengnya smiling face  heart eyes kakak ganteng smiling face  heart eyes smiling face  heart eyes abangku  ganteng smiling face  heart eyes abang ganteng smiling face  heart eyes otw  odong odong dek tunggu face  tears  joy keren smiling face  heart eyes;2
98;166.0;https://www.instagram.com/p/CfAbbxAPMmK/;nocapt;1
99;167.0;https://www.instagram.com/p/Ce8OOXTPn_N/;sok sweet smiling face  heart eyes;1
100;168.0;https://www.instagram.com/p/Cevt34mBh4O/;think investments;1
101;169.0;https://www.instagram.com/p/CevVPbPPkJT/;think investments;1
102;170.0;https://www.instagram.com/p/CeugL5gP9dx/;hayo rek sudah tau rene durung nfotone amaliya;1
103;171.0;https://www.instagram.com/p/Ces_5yWBfHS/;outfit  camera  flash  beutiful spill outfit   hayy  bantu follow tag red heart;2
104;172.0;https://www.instagram.com/p/Cep1nD_rUfo/;outfit  camera  flash  wow fire keren bgts  smiling face  heart eyes smiling face  heart eyes thank   memakai produk lokal folded hands folded hands smiling face  heart eyes smiling face  heart eyes;2
105;173.0;https://www.instagram.com/p/Cep1pjJLNHr/;repost video   mancing   spotnya;1
106;175.0;https://www.instagram.com/p/CenjzgpJAV9/;repost tik tok ;1
107;176.0;https://www.instagram.com/p/CendGfEL_qS/;repost tik tok ahmad;1
108;177.0;https://www.instagram.com/p/CendQTorlrf/;repost tik tok;1
109;178.0;https://www.instagram.com/p/CencJytLBwI/;repost video tik tok  smiling face  heart eyes smiling face  heart eyes smiling face  heart eyes clapping hands clapping hands clapping hands ketje badaaai fire fire artisnya face  hand  mouth galerysby smiling face  heart eyes fire red heart raising hands;2
110;179.0;https://www.instagram.com/p/CencB9rrwCa/;hut brimob    npolres tanjung perak mengadakan giat bhakti sosial  sontoh laut nvideo ;2
111;180.0;https://www.instagram.com/p/Cei9om8PUuP/;terimakasih  nspesial thank  nbapak wali nbapak wawali nbapak ketua dprd kota  nbapak camat asemrowo ukoro njuga sontoh laut lovers ntgl okt   memberitakan sontoh laut   sayembara design sontoh laut pemkot berkolaborasi  nmohon  anya sontoh laut lovers kedepan wisata sontoh laut  salah  destinasi andalan   palms  together;2
112;182.0;https://www.instagram.com/p/Cef1QK3pvy5/;repost video tik tok ayang;1
113;183.0;https://www.instagram.com/p/CebLc45ht94/;repost video tik tok;1
114;184.0;https://www.instagram.com/p/CeSuEbEjeAR/;ngiat senam minggu pagi    sontoh laut;1
115;185.0;https://www.instagram.com/p/CeIqHLDL6xT/;repost video tik tok ;1
116;186.0;https://www.instagram.com/p/CeAX6EapQ7Q/;repost video tik tok  smiling face  heart eyes smiling face  heart eyes;1
117;187.0;https://www.instagram.com/p/BhGLjWTBmKr/;repost video tik tok ;1
118;188.0;https://www.instagram.com/p/Cd0w-slPAwW/;repost tik tok  tarii;1
119;189.0;https://www.instagram.com/p/CdzyoAijdw6/;kabeh sudah onok rejekine dewe dewe ncukup  syukuri seng sudah  paringi gusti pengeran  golek seng durung  paringi dijogo seng sudah onok nsugeng siang poro sederek  nfoto karya amaliya eh iki  seng arah rsal iku ta thinking face sakno mbak ijenan  kancani ta sehat  min mendung   jadian fire raising hands trimo ing pandum min smiling face  heart eyes amin allah semangat reek menjemput rejeki clapping hands clapping hands clapping hands;2
120;190.0;https://www.instagram.com/p/CdxDLVdvTT0/;kalah   kejadian     bersimpangan   kejadian   orang    impian rencana   berusaha  keras sok   bawa perasaan bangun usaha  move     kejadian     menangkan amin palms  together palms  together  keren  party popper party popper jalan mundur nabrak jamu    tidur gara memikirkan  red heart maaf mbak   amaliya       buka ta  cantik fiks   photoshop alias editan ganti backgoroun  ketcehhh badai  mbak faricha  smiling face  heart eyes smiling face  heart eyes gowo pancing enak iki sebagus    face  open mouth wow clapping hands clapping hands;1
121;191.0;https://www.instagram.com/p/CdxCeKVJCv_/;ngadem  taman ;2
122;192.0;https://www.instagram.com/p/CdiyPqqsFA-/;repost tik tok  red heart smiling face  heart eyes smiling face  heart eyes;1
123;193.0;https://www.instagram.com/p/CdfNmxEp-En/;selamat  pahlawan november;1
124;194.0;https://www.instagram.com/p/CdYJViCvS6m/;selamat  pahlawan;1
125;195.0;https://www.instagram.com/p/CdVQseGPhV-/;totalitas banget;2
126;196.0;https://www.instagram.com/p/CdTY0ugBHt8/; cek dm  folded hands;1
127;197.0;https://www.instagram.com/p/CdSfAi4LqAE/;halan halan mangrov   asik puoal mbok  diajak;2
128;198.0;https://www.instagram.com/p/CdQ71FlP8u4/;hehe rekkk  kandani  nak  onok lokasi wisata terbaru loh rek njenengan wisata kampung warna warni nak kono onk gazebo loh rek cocok gawe ngopi cangkruk  ambek delok pemandangan alam laut semilir angin pokok wapikk rekk drooling face drooling face drooling face nlokasine bertepatan ndek kampung greges   cocok gawe awkmu awkmu sng senengan foto alam karo ngenteni sunset rekk karo mangan jajan  khas ukm ngopi usaha  micro warga greges  nojok  ketinggalan rek winking face winking face camera  flash;2
129;199.0;https://www.instagram.com/p/CdQYRwQJ7g6/;  name   pose thinking face nalmost years   cheerleading miss ;1
130;200.0;https://www.instagram.com/p/CdQJ5gwpXrR/; difase lelah  butuh yellow heart kiss mark smiling face  smiling eyes    back like    beaming face  smiling eyes  post php unlike  crying face  smiling face  heart eyes red heart  new post  php  autobck fire    flw   fire  bantu fllow follow auto back  duluan auto back;0
131;201.0;https://www.instagram.com/p/CdPikv4hub0/;foto  panitia sayembara desain wisata sontoh laut  gazebo  laut;1
132;202.0;https://www.instagram.com/p/CdNFZayL0T-/;keindahan alam sontoh laut   ribuan burung  taman burung sontoh laut;2
133;203.0;https://www.instagram.com/p/CdMdmEBv1Eu/; mengantarkan panitia sayembara  survey lokasi mantab    gowes  perahu  ;2
134;204.0;https://www.instagram.com/p/CdFbz4pPUa7/;senam pagi rutin    sontoh laut njangan lupa  bahagia star struck;2
135;206.0;https://www.instagram.com/p/CczhqE-vItj/; new  green lake natural living eyes nto  continued check mark  best building material quality check mark  strategic location check mark   place value check mark  high return  investment ncontact us njl  kencana asri ii  nwonorejo  nphone nemail info com;1
136;209.0;https://www.instagram.com/p/CcLuUAsP5t9/;new cluster nstage green lake natural living ncontact us njl  kencana asri ii  nwonorejo  nphone nemail info com;1
137;210.0;https://www.instagram.com/p/CcLBQE6pHRt/;new cluster new chapter new energy nstage green lake natural living ncontact us njl  kencana asri ii  nwonorejo  nphone nemail info com;1
138;211.0;https://www.instagram.com/p/CcC6N__PXap/;holla smiling face  smiling eyes ncontact us njl  kencana asri ii  nwonorejo  nphone nemail info com;0
139;212.0;https://www.instagram.com/p/CcAJsxzDW_n/;karmali  ;1
140;213.0;https://www.instagram.com/p/Cb9qm8bvHuP/;ketua dprd   dukungan pengembangan wisata bahari sontoh laut nsimak ulasannya  nsuara republik news backhand index pointing   news backhand index pointing ;1
141;214.0;https://www.instagram.com/p/Cb6OlAKPYFI/;selamat  sumpah pemuda nsoempah pemoeda nkami poetra  poetri  nmengakoe bertoempah darah jang satoe tanah air  nkami poetra  poetri  nmengakoe berbangsa jang satoe bangsa  nkami poetra  poetri  nmenjoenjoeng bahasa persatoean bahasa ;1
142;215.0;https://www.instagram.com/p/Cb4j-PkvJjp/;rabu oktober nketua dprd kota   ketua dpc pdip kota   adi sutarwijono  kader berkunjung  gazebo sontoh laut bertepatan  datangnya sunset matahari terbenam camera  flash  cak;1
143;216.0;https://www.instagram.com/p/Cb4IAglBQjL/; steal tajemm smiling face  heart eyes smiling face  heart eyes;1
144;217.0;https://www.instagram.com/p/Cb2JeuPPkPP/;npingin refresing ndek    nak  kota lur ndok  onok wisata  rek  pakai mahal ayo nak wisata sontoh laut lur star struck folded hands;2
