;link;hasil;sentiment
116;https://www.instagram.com/p/CjFmk2fvSEo/;pemerintah kota pemkot  bertekad menata  kawasan wisata alam  konservasi      sawah kota  natas niat  wali kota  eri cahyadi  memperbaharui konsep wisata  raya   menarik wisatawan asing   kawasan wisata edukasi  penelitian nsebab menurutnya      sawah memiliki potensi     salah  ikon   kota pahlawan writing hand rangga putra nsumber foto pemkot  nklik selengkapnya  bio white exclamation mark white exclamation mark white exclamation mark;2
118;https://www.instagram.com/p/Ci1JX7_hycP/;photo taken   nthanks  dewi  rizal artist palette;1
119;https://www.instagram.com/p/Cipvqj6PzjB/;pagi  indah    main jalur mtb   daerah nslide jalur tanah padat  krikil traksinya  enak  pakai ban smiling face  sunglasses nslide  jalur single track  ngeri aduhai grinning face  smiling eyes   jaga keseimbangan jago   nharus  latihan keseimbangan  medan  nslide end   road;2
121;https://www.instagram.com/p/Cihz_UlLMLn/;kabar lingkungan nhai sobat lingkungan raising hands nmasih  rangka hut petrokimia gresik   peringatan  lingkungan hidup dunia  mengajak sobat lingkungan  hadir   kegiatan dekarbonisasi viral  berkolaborasi  departemen petrokimiagresik nacara  meliputi kegiatan viral   doorprize menarik  peserta  souvenir senam  bod awarding  pemenang lomba poster video  duta lingkungan penanaman  nserangkaian kegiatan    round pushpin sor tridharma pagi four  clock wib selesai nyuk    ramaikan kegiatan dekarbonisasi viral besok raising hands winking face;2
122;https://www.instagram.com/p/Ciea1PEP2de/;healing sunsite        nikmat;2
124;https://www.instagram.com/p/Ch4c1ASr4_M/;naku mencintaimu nkarena segenap alam semesta nmembantuku  menemukanmu rose llbio keren bang;2
126;https://www.instagram.com/p/Choxa4erzKs/;   nsudah bahagia;2
127;https://www.instagram.com/p/ChjdaZtv6gQ/;kategori flora mushroom njudul menjelajah   npenulis dian saptarini farid kamal muzaki nengah dwianita kuswytasari  aries sulisetyono npenerbit pusat studi kelautan lppm   ntahun nhalaman viii hlm nkondisi   gambar ilustrasi nstok nkonten isi nberisi  nama latin lokal deskripsi habitus zonasi habitat ukuran kelimpahan  keterangan    jenis jenis  sejati  asosiasi  jamur kayu  zona      jawa  nbagian mengenal  definisi habitat keanekaragaman jenis zonasi fungsi ekologi potensi ekonomi    panduan pengamatan petunjuk eksplorasi buku menjelajah   sejati bogem bakau tinjang tanjang tengar api api  asosiasi waru biduri putat laut cemara laut bintaro kambingan legundi glagah senggani ketapang jamur kayu   jamur   ditemui   pengertian jamur kayu sifat manfaat keanekaragaman jamur climacodon inonotus ganoderma daldinia nmangrove  sketsa nindeks pm terjual;2
131;https://www.instagram.com/p/ChZpQkeP07l/;selepas hujan munculan awan  cantik matahari  bersinar nmasih  rangka otw   menanam  smiling face  heart eyes smiling face  heart eyes ndredeg foto  ujung kapal situ face  tears  joy face  tears  joy face  tears  joy nmksih  memfoto two hearts two hearts two hearts two hearts;2
132;https://www.instagram.com/p/ChZMaFSPVs7/;sisa unit tipe premium ulundanu  langsung berdekatan  fasum taman jogging track club house  kolam renang anak buruan diskon ratusan juta rupiah gratis ppn bphtb biaya kpr biaya ajb imb shgb  pemasangan pln pdam bonus ac canopy pagar diskon senilai  ratusan juta rupiah face screaming  fear check mark   place value check mark  strategic location check mark  best building material quality check mark  high return  investment nhubungi kantorpemasaran pusat njl  kencana asri ii nrungkut  nphone nwhatsapp nemail admin com syarat ketentuan berlaku    dm denah layoutnya kamera camera  flash dollar banknote dollar banknote dollar banknote dollar banknote dollar banknote dollar banknote dollar banknote dollar banknote dollar banknote dollar banknote dollar banknote dollar banknote money bag money bag money bag money bag money bag money bag money bag money bag money bag money bag money bag money bag currency exchange credit card atm sign books  receipt memo artist palette automobile minibus pickup truck articulated lorry flexed biceps thumbs  light skin tone raising hands rolling   floor laughing face  medical mask growing heart blue heart green heart purple heart yellow heart black heart red heart orange heart brown heart white heart folded hands light skin tone folded hands light skin tone folded hands light skin tone folded hands light skin tone folded hands light skin tone folded hands light skin tone folded hands light skin tone folded hands light skin tone folded hands light skin tone;1
133;https://www.instagram.com/p/ChXGhCAL4IK/;dirgahayu republik   ;1
134;https://www.instagram.com/p/ChWJ_wihiNk/;merdeka nmerdeka  gangguan suara bising kendaraan bermotor fire fire fire fire;2
135;https://www.instagram.com/p/ChKZ_9jB3AU/;   penanaman  bibit  berlokasi    melestarikan alam  manggalakkan penghijauan    abrasi  pengikisan daratan  penanaman  nmari  lestarikan lingkungan nenergi  negeri keren smiling face  heart eyes;2
136;https://www.instagram.com/p/Cg9HTkbPTKf/;  ketemu anak cucu  pandemi    thanks god smiling face  heart eyes sehat francis enjoy  family xxx;2
138;https://www.instagram.com/p/CguHbEHPfFP/;bocil senang diajak jlan smiling face  hearts;2
139;https://www.instagram.com/p/Cgmkdq7v_oz/;tumbuhku menyamping nsedangkan  jalannya menyamping nkubutuh pendamping nbukan   kepiting nb ncrustacea red heart revolving hearts red heart;1
140;https://www.instagram.com/p/Cge43U-N4Ku/; rare spectacular  prolific ecosystem  contribute   wellbeing food security  protection  coastal communities    world;1
141;https://www.instagram.com/p/CgeNEN-PPvu/;selamat memperingati   sedunia nayo bergerak  tunggu  lingkungan  tercinta rusak kehutanan  mendukung membangun    kehidupan    clapping hands alhamdullilah  bersemangat  salam lestari thumbs  folded hands salam lestari salam konservasi   center nguling pasuruan optimis  bangkit ayo tanam tanam tanam tanam tanam tanam tanam tanam pohon evergreen tree evergreen tree evergreen tree selamat  manngrove sedunia salam lestari anak nelayan menjaring ikan nikan dimasak cuka terasi nmari   lestarikan nmenanam  cegah abrasi  lestari masyarakat sejahtera cdk banyuwangi  menjaga kelestarian  fire fire;2
142;https://www.instagram.com/p/CgYbk4tBmw8/;harta tahta  person biking;1
143;https://www.instagram.com/p/CgEmH34JkD2/;mangroves deciduous tree iphone hubungan official red heart;1
144;https://www.instagram.com/p/CgEdyqqrZta/;berusahalah  bahagia;1
146;https://www.instagram.com/p/Cf-6nuMBFp0/;post  face  hand  mouth njd ceritanya tuh  kosongin  memory iphone kali  besok lusa mendadak   mengajak mencari kece smiling face  heart eyes napalagi kalo rame   nmasa  mulu  kali  beaming face  smiling eyes beautiful;1
147;https://www.instagram.com/p/Cf84zXghTvh/;big thank   ub brawijaya    valuable person  speaker   webinar   lot  experience  knowledge  mangroves   benefit  environmental  socio economic aspects  wish  participants  learn new thing  ;1
148;https://www.instagram.com/p/Cf8iT9aBkrG/;hehehe    baked potato   rindang  face  tears  joy face  tears  joy face  hand  mouth;1
150;https://www.instagram.com/p/Cf8JTqghX5L/;face  hand  mouth nmasih  ;1
151;https://www.instagram.com/p/Cf6zQabhPPE/;   suka ayunan ndari jaman anak   setuwir    suka main ayunan nayunan   kehidupan butuh keseimbangan kencang berayun pastikan pegangan  kuat  lambat berayun  seimbang  duduk  berpijak;2
152;https://www.instagram.com/p/Cf6lWAzBCjp/; sih   suka bunga nsemua  suka  bunga bank face  tears  joy face  hand  mouth;2
153;https://www.instagram.com/p/Cf6hcINB0Dh/;sok  mencoba excavator  nyetir mobil  kagak  rolling   floor laughing rolling   floor laughing;1
154;https://www.instagram.com/p/Cf6E6V4vn-u/;bumi bhakti foundation  aksi penanaman  dikawasan pesisir kota  nribuan bibit    tanam  lokasi   potensi abrasi   bibir  kawasan    naksi penanaman ribuan bibit     salah  bentuk upaya    mencegah  abrasi seedling seedling;2
155;https://www.instagram.com/p/Cf6E3CBvjc8/;bumi bhakti foundation  aksi penanaman  dikawasan pesisir kota  nribuan bibit    tanam  lokasi   potensi abrasi   bibir  kawasan    naksi penanaman ribuan bibit     salah  bentuk upaya    mencegah  abrasi seedling seedling semoga  luas jangkauan bbf min semangat menghijaukan bumi flexed biceps manfaat    kegiatan   menginspirasi salam hormat  wibi nugraha penggiat   pesisir  sumatera utara fire fire fire;2
156;https://www.instagram.com/p/Cf6FBvMvqB1/;bumi bhakti foundation  aksi penanaman  dikawasan pesisir kota  nribuan bibit    tanam  lokasi   potensi abrasi   bibir  kawasan    naksi penanaman ribuan bibit     salah  bentuk upaya    mencegah  abrasi seedling seedling keren  smiling face  heart eyes smiling face  heart eyes kereeenn fire raising hands nice clapping hands clapping hands semoga   relawan  gabung  programnya keren banget smiling face  heart eyes;2
157;https://www.instagram.com/p/CfylovsPKGk/;segenap keluarga map group nmengucapkan selamat  raya idul adha red heart red heart red heart;1
159;https://www.instagram.com/p/Cfi6Ql2vqTl/;teman ;1
160;https://www.instagram.com/p/Cff3yf4LJJA/;bestie mangrovers npaket lengkap banget  sih mengobrol asyik  nyaman  mulyoasri nmenurut  nsuka orang  bikin nyaman  orang  menyambung diajak mengobrol  nhayohh admin tunggu jawabannya  kolom komentar winking face;2
161;https://www.instagram.com/p/CfOcdifvEzo/;full senyum pokoknya grinning face  smiling eyes;2
162;https://www.instagram.com/p/CfIm-WdP_T1/;  upload foto ambek pasangan ;1
163;https://www.instagram.com/p/CfImGuMPrXb/;coming soon  berkarya;1
164;https://www.instagram.com/p/CfIlvS6v4ik/;morniing happy monday ayo  smangaat freeends flexed biceps flexed biceps flexed biceps nmakasiih   stories jepretannya  awesome smiling face  heart eyes smiling face  heart eyes smiling face  heart eyes face savoring food footprints fire lomba camera  flash model studio backhand index pointing left double exclamation mark hai abang ku red heart always ganteng smiling face  heart eyes smiling face  heart eyes smiling face  heart eyes smiling face  heart eyes kakak ganteng smiling face  heart eyes smiling face  heart eyes cool fire fire clapping hands semangatttt flexed biceps light skin tone smiling face  heart eyes happy monday  ganteng  smiling face  heart eyes happy monday smiling face  heart eyes smiling face  heart eyes  semangat red heart red heart red heart happy monday  flexed biceps smiling face  hearts happy monday adik cakep smiling face  heart eyes cool happy monday  smiling face  heart eyes mowning abang ganteng smiling face  heart eyes smiling face  heart eyes smiling face  heart eyes;2
165;https://www.instagram.com/p/CfDbubAh8CR/;olah raga  ayo  tungguin  sun  face sun  face sun  face smiling face smiling face nmakasiih   stories jepretannya  awesome smiling face  heart eyes smiling face  heart eyes smiling face  heart eyes haduhh ebed kalo olahraga suka pegell  ebed  timer kakak  deh face  tears  joy ganteng smiling face  heart eyes hey   kid adorable let collab dm kids sparkles nongkrong cakep  kayak   smiling face  heart eyes smiling face  heart eyes smiling face  heart eyes smiling face  heart eyes smiling face  heart eyes smiling face  heart eyes morning kakak handsome  gerak  pengkolan smiling face  heart eyes kakak hensem smiling face  heart eyes smiling face  heart eyes smiling face  heart eyes smiling face  heart eyes siganteng oma   pintar bergaya semoga sukses  sayang thumbs  thumbs  thumbs  red heart red heart red heart red heart red heart red heart  gantengnya smiling face  heart eyes kakak ganteng smiling face  heart eyes smiling face  heart eyes abangku  ganteng smiling face  heart eyes abang ganteng smiling face  heart eyes otw  odong odong dek tunggu face  tears  joy keren smiling face  heart eyes;2
166;https://www.instagram.com/p/CfAbbxAPMmK/;nocapt;1
167;https://www.instagram.com/p/Ce8OOXTPn_N/;sok sweet smiling face  heart eyes;1
168;https://www.instagram.com/p/Cevt34mBh4O/;think investments;1
169;https://www.instagram.com/p/CevVPbPPkJT/;think investments;1
170;https://www.instagram.com/p/CeugL5gP9dx/;hayo rek sudah tau rene durung nfotone amaliya;1
171;https://www.instagram.com/p/Ces_5yWBfHS/;outfit  camera  flash  beutiful spill outfit   hayy  bantu follow tag red heart;2
172;https://www.instagram.com/p/Cep1nD_rUfo/;outfit  camera  flash  wow fire keren bgts  smiling face  heart eyes smiling face  heart eyes thank   memakai produk lokal folded hands folded hands smiling face  heart eyes smiling face  heart eyes;2
173;https://www.instagram.com/p/Cep1pjJLNHr/;repost video   mancing   spotnya;1
175;https://www.instagram.com/p/CenjzgpJAV9/;repost tik tok ;1
176;https://www.instagram.com/p/CendGfEL_qS/;repost tik tok ahmad;1
177;https://www.instagram.com/p/CendQTorlrf/;repost tik tok;1
178;https://www.instagram.com/p/CencJytLBwI/;repost video tik tok  smiling face  heart eyes smiling face  heart eyes smiling face  heart eyes clapping hands clapping hands clapping hands ketje badaaai fire fire artisnya face  hand  mouth galerysby smiling face  heart eyes fire red heart raising hands;2
179;https://www.instagram.com/p/CencB9rrwCa/;hut brimob    npolres tanjung perak mengadakan giat bhakti sosial  sontoh laut nvideo ;2
180;https://www.instagram.com/p/Cei9om8PUuP/;terimakasih  nspesial thank  nbapak wali nbapak wawali nbapak ketua dprd kota  nbapak camat asemrowo ukoro njuga sontoh laut lovers ntgl okt   memberitakan sontoh laut   sayembara design sontoh laut pemkot berkolaborasi  nmohon  anya sontoh laut lovers kedepan wisata sontoh laut  salah  destinasi andalan   palms  together;2
182;https://www.instagram.com/p/Cef1QK3pvy5/;repost video tik tok ayang;1
183;https://www.instagram.com/p/CebLc45ht94/;repost video tik tok;1
184;https://www.instagram.com/p/CeSuEbEjeAR/;ngiat senam minggu pagi    sontoh laut;1
185;https://www.instagram.com/p/CeIqHLDL6xT/;repost video tik tok ;1
186;https://www.instagram.com/p/CeAX6EapQ7Q/;repost video tik tok  smiling face  heart eyes smiling face  heart eyes;1
187;https://www.instagram.com/p/BhGLjWTBmKr/;repost video tik tok ;1
188;https://www.instagram.com/p/Cd0w-slPAwW/;repost tik tok  tarii;1
189;https://www.instagram.com/p/CdzyoAijdw6/;kabeh sudah onok rejekine dewe dewe ncukup  syukuri seng sudah  paringi gusti pengeran  golek seng durung  paringi dijogo seng sudah onok nsugeng siang poro sederek  nfoto karya amaliya eh iki  seng arah rsal iku ta thinking face sakno mbak ijenan  kancani ta sehat  min mendung   jadian fire raising hands trimo ing pandum min smiling face  heart eyes amin allah semangat reek menjemput rejeki clapping hands clapping hands clapping hands;2
190;https://www.instagram.com/p/CdxDLVdvTT0/;kalah   kejadian     bersimpangan   kejadian   orang    impian rencana   berusaha  keras sok   bawa perasaan bangun usaha  move     kejadian     menangkan amin palms  together palms  together  keren  party popper party popper jalan mundur nabrak jamu    tidur gara memikirkan  red heart maaf mbak   amaliya       buka ta  cantik fiks   photoshop alias editan ganti backgoroun  ketcehhh badai  mbak faricha  smiling face  heart eyes smiling face  heart eyes gowo pancing enak iki sebagus    face  open mouth wow clapping hands clapping hands;1
191;https://www.instagram.com/p/CdxCeKVJCv_/;ngadem  taman ;2
192;https://www.instagram.com/p/CdiyPqqsFA-/;repost tik tok  red heart smiling face  heart eyes smiling face  heart eyes;1
193;https://www.instagram.com/p/CdfNmxEp-En/;selamat  pahlawan november;1
194;https://www.instagram.com/p/CdYJViCvS6m/;selamat  pahlawan;1
195;https://www.instagram.com/p/CdVQseGPhV-/;totalitas banget;2
196;https://www.instagram.com/p/CdTY0ugBHt8/; cek dm  folded hands;1
197;https://www.instagram.com/p/CdSfAi4LqAE/;halan halan mangrov   asik puoal mbok  diajak;2
198;https://www.instagram.com/p/CdQ71FlP8u4/;hehe rekkk  kandani  nak  onok lokasi wisata terbaru loh rek njenengan wisata kampung warna warni nak kono onk gazebo loh rek cocok gawe ngopi cangkruk  ambek delok pemandangan alam laut semilir angin pokok wapikk rekk drooling face drooling face drooling face nlokasine bertepatan ndek kampung greges   cocok gawe awkmu awkmu sng senengan foto alam karo ngenteni sunset rekk karo mangan jajan  khas ukm ngopi usaha  micro warga greges  nojok  ketinggalan rek winking face winking face camera  flash;2
199;https://www.instagram.com/p/CdQYRwQJ7g6/;  name   pose thinking face nalmost years   cheerleading miss ;1
200;https://www.instagram.com/p/CdQJ5gwpXrR/; difase lelah  butuh yellow heart kiss mark smiling face  smiling eyes    back like    beaming face  smiling eyes  post php unlike  crying face  smiling face  heart eyes red heart  new post  php  autobck fire    flw   fire  bantu fllow follow auto back  duluan auto back;0
201;https://www.instagram.com/p/CdPikv4hub0/;foto  panitia sayembara desain wisata sontoh laut  gazebo  laut;1
202;https://www.instagram.com/p/CdNFZayL0T-/;keindahan alam sontoh laut   ribuan burung  taman burung sontoh laut;2
203;https://www.instagram.com/p/CdMdmEBv1Eu/; mengantarkan panitia sayembara  survey lokasi mantab    gowes  perahu  ;2
204;https://www.instagram.com/p/CdFbz4pPUa7/;senam pagi rutin    sontoh laut njangan lupa  bahagia star struck;2
206;https://www.instagram.com/p/CczhqE-vItj/; new  green lake natural living eyes nto  continued check mark  best building material quality check mark  strategic location check mark   place value check mark  high return  investment ncontact us njl  kencana asri ii  nwonorejo  nphone nemail info com;1
209;https://www.instagram.com/p/CcLuUAsP5t9/;new cluster nstage green lake natural living ncontact us njl  kencana asri ii  nwonorejo  nphone nemail info com;1
210;https://www.instagram.com/p/CcLBQE6pHRt/;new cluster new chapter new energy nstage green lake natural living ncontact us njl  kencana asri ii  nwonorejo  nphone nemail info com;1
211;https://www.instagram.com/p/CcC6N__PXap/;holla smiling face  smiling eyes ncontact us njl  kencana asri ii  nwonorejo  nphone nemail info com;0
212;https://www.instagram.com/p/CcAJsxzDW_n/;karmali  ;1
213;https://www.instagram.com/p/Cb9qm8bvHuP/;ketua dprd   dukungan pengembangan wisata bahari sontoh laut nsimak ulasannya  nsuara republik news backhand index pointing   news backhand index pointing ;1
214;https://www.instagram.com/p/Cb6OlAKPYFI/;selamat  sumpah pemuda nsoempah pemoeda nkami poetra  poetri  nmengakoe bertoempah darah jang satoe tanah air  nkami poetra  poetri  nmengakoe berbangsa jang satoe bangsa  nkami poetra  poetri  nmenjoenjoeng bahasa persatoean bahasa ;1
215;https://www.instagram.com/p/Cb4j-PkvJjp/;rabu oktober nketua dprd kota   ketua dpc pdip kota   adi sutarwijono  kader berkunjung  gazebo sontoh laut bertepatan  datangnya sunset matahari terbenam camera  flash  cak;1
216;https://www.instagram.com/p/Cb4IAglBQjL/; steal tajemm smiling face  heart eyes smiling face  heart eyes;1
217;https://www.instagram.com/p/Cb2JeuPPkPP/;npingin refresing ndek    nak  kota lur ndok  onok wisata  rek  pakai mahal ayo nak wisata sontoh laut lur star struck folded hands;2
218;https://www.instagram.com/p/Cbxi22yPR2j/;  senja   sungguh indah ciptaan tuhan yme bak lukisan  kanvas indah  hamparan nglodag face  tears  joy nrepost camera;2
219;https://www.instagram.com/p/CbwEwLVhbit/;nserunya liburan  keluarga  pakai   kota gaess  diseputaran kota tercinta kota  gaess tepatnya  daerah  utara jl margomulyo  pakai   pakai mahal gaess nsalam bahagia nrepost camera;2
220;https://www.instagram.com/p/Cbr7w_BPy16/;nbehind  scene  model catwalk  mencoba latar  gazebo sontoh laut star struck;1
221;https://www.instagram.com/p/Cbr6rHaJoYq/;morning ;1
222;https://www.instagram.com/p/Cbq6eexPVIi/;;1
223;https://www.instagram.com/p/Cbo08GgPqTk/; new  green lake natural living eyes nto  continued check mark  best building material quality check mark  strategic location check mark   place value check mark  high return  investment ncontact us njl  kencana asri ii  nwonorejo  nphone nwhatsapp nemail admin com   plnya terima kasih   pricelist ;1
224;https://www.instagram.com/p/Cbl7TGyJkvr/;wisata sontoh laut   salah  daftar destinasi wisata andalan  jawa  nterimakasih  film frames ;1
